"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Extreme",4.99,26,192.115384615462,4.18480725541036
"Severe",9.99,197,250.431472081138,8.19851468305634
"Moderate",14.99,672,248.300595238109,12.1364099223185
"Sub-Optimal",19.99,1770,238.520067834936,16.4040476117529
